,Task,dagger its,expert mean return,expert rollouts,expert std return,mean return,std return,training epochs
0,Hopper-v2,0.0,3777.774246933718,20.0,3.7813457360285025,736.0769779547579,140.87414370894612,1.0
1,Hopper-v2,1.0,3777.774246933718,20.0,3.7813457360285025,830.7500919300234,11.900246047325169,1.0
2,Hopper-v2,2.0,3777.774246933718,20.0,3.7813457360285025,874.0364912999794,29.116929795373586,1.0
3,Hopper-v2,3.0,3777.774246933718,20.0,3.7813457360285025,3580.920743705319,409.1265321233693,1.0
4,Hopper-v2,4.0,3777.774246933718,20.0,3.7813457360285025,1317.9380580686814,158.46525819681094,1.0
5,Hopper-v2,5.0,3777.774246933718,20.0,3.7813457360285025,1334.4896558361386,93.92225682358983,1.0
6,Hopper-v2,6.0,3777.774246933718,20.0,3.7813457360285025,3101.087675328911,818.4212940653905,1.0
7,Hopper-v2,7.0,3777.774246933718,20.0,3.7813457360285025,3497.9828368728427,108.99871105668258,1.0
8,Hopper-v2,8.0,3777.774246933718,20.0,3.7813457360285025,3771.0546427939344,18.861343404227927,1.0
9,Hopper-v2,9.0,3777.774246933718,20.0,3.7813457360285025,3621.78699838433,47.29075042138881,1.0
